Lodówka 2,Światło,Telewizory,Komputery,Frezarka CNC,Obrabiarka CNC,Ogrzewanie
0.25,5.,10.,20.,70.,150.,70
Lodówka 2,Światło,Telewizory,Komputery,Frezarka CNC,Obrabiarka CNC,Ogrzewanie
1.0,0.,0.,0.,0.,0.,0.
1.0,0.,0.,0.,0.,0.,0.
1.0,0.,0.,0.,0.,0.,0.
1.0,0.,0.,0.,0.,0.,0.
1.0,0.,1.,1.,1.,1.,0.1
1.0,0.,1.,1.,1.,1.,0.1
1.0,0.,1.,1.,1.,1.,0.1
1.0,1.,1.,1.,1.,1.,0.
1.0,1.,1.,1.,1.,1.,0.
1.0,1.,1.,1.,1.,1.,0.
1.0,1.,1.,1.,1.,1.,0.
1.0,1.,1.,1.,1.,1.,0.
1.0,1.,1.,1.,1.,1.,0.
1.0,1.,1.,1.,1.,1.,0.
1.0,1.,1.,1.,1.,1.,0.
1.0,1.,1.,1.,1.,1.,0.
1.0,1.,1.,1.,1.,1.,0.
1.0,1.,1.,1.,1.,1.,0.
1.0,1.,1.,1.,1.,1.,0.
1.0,1.,1.,1.,1.,1.,0.
1.0,1.,1.,1.,1.,1.,0.1
1.0,1.,1.,1.,1.,1.,0.1
1.0,1.,1.,1.,1.,1.,0.1
1.0,0.,0.,0.,0.,0.,0.
